Model,GREAT_airplane,GREAT_automobile,GREAT_bird,GREAT_cat,GREAT_deer,GREAT_dog,GREAT_frog,GREAT_horse,GREAT_ship,GREAT_truck,GREAT_aggregate
Augustin_WRN_extra,0.5788,0.6543,0.4632,0.3354,0.4299,0.444,0.5182,0.5984,0.6131,0.6212,0.5256
Augustin_WRN,0.4859,0.6275,0.4345,0.2423,0.4044,0.3455,0.548,0.5768,0.5836,0.5853,0.4834
Augustin2020,0.5255,0.6524,0.4397,0.2178,0.4186,0.3358,0.537,0.5817,0.5841,0.5878,0.488
Ding_MMA,0.084,0.1276,0.0742,0.0394,0.0643,0.0474,0.0899,0.1664,0.0897,0.0803,0.0863
Engstrom2019,0.1146,0.2318,0.0924,0.0375,0.0766,0.0238,0.1016,0.1682,0.1578,0.2576,0.1262
Gowal2020,0.1121,0.1223,0.0822,0.0613,0.0982,0.0462,0.1177,0.1673,0.1528,0.1456,0.1106
Gowal_extra,0.5493,0.6356,0.3906,0.2876,0.3489,0.3679,0.459,0.5905,0.5704,0.5978,0.4798
Rade_R18,0.3725,0.472,0.2444,0.1572,0.2377,0.2114,0.3746,0.4199,0.4365,0.441,0.3367
Rebuffi_28_ddpm,0.3912,0.5024,0.2651,0.1437,0.2478,0.2006,0.3959,0.4448,0.4609,0.4675,0.352
Rebuffi_70_ddpm,0.4143,0.5265,0.3019,0.1661,0.2823,0.2211,0.4297,0.4776,0.4931,0.4994,0.3812
Rebuffi_extra,0.528,0.6156,0.3733,0.2826,0.3414,0.3677,0.4408,0.5623,0.5528,0.5819,0.4646
Rebuffi_R18,0.3235,0.4471,0.227,0.1213,0.2154,0.1757,0.3433,0.3874,0.3977,0.3788,0.3017
Rice2020,0.1067,0.1997,0.074,0.0313,0.0791,0.0311,0.1067,0.1505,0.1559,0.2306,0.1166
Rony2019,0.2122,0.3702,0.193,0.0956,0.1068,0.1289,0.2321,0.2982,0.3059,0.2781,0.2221
Sehwag_Proxy,0.2271,0.277,0.2005,0.0603,0.1535,0.072,0.3407,0.3626,0.3126,0.3171,0.2324
Sehwag_R18,0.1973,0.2326,0.1292,0.0537,0.1147,0.0613,0.2608,0.3019,0.2716,0.2402,0.1863
Wu2020,0.104,0.1344,0.0779,0.0619,0.0913,0.0472,0.097,0.1579,0.1155,0.1577,0.1045
