Model,RobustBench_Acc,GREAT_Score,Calibrated_GREAT,RDI,NRGC,WCR,WCR_Class,FP_GREAT,Best_Class,Best_Score
Augustin_WRN_extra,78.79,0.5256,0.3295,0.3189,0.105,0.3354,cat,0.3662,automobile,0.6543
Augustin_WRN,76.25,0.4834,0.3091,0.3852,0.1351,0.2423,cat,0.2908,automobile,0.6275
Augustin2020,72.91,0.488,0.3044,0.4346,0.1422,0.2178,cat,0.2707,automobile,0.6524
Ding_MMA,66.09,0.0863,0.2354,0.127,0.2181,0.0394,cat,0.0228,horse,0.1664
Engstrom2019,69.24,0.1262,0.2519,0.2337,0.3273,0.0238,dog,0.0093,truck,0.2576
Gowal2020,74.5,0.1106,0.2065,0.1211,0.1922,0.0462,dog,0.05,horse,0.1673
Gowal_extra,80.53,0.4798,0.3438,0.3479,0.1379,0.2876,cat,0.3058,automobile,0.6356
Rade_R18,76.15,0.3367,0.2563,0.3149,0.1771,0.1572,cat,0.1793,automobile,0.472
Rebuffi_28_ddpm,78.8,0.352,0.2546,0.3588,0.1905,0.1437,cat,0.1726,automobile,0.5024
Rebuffi_70_ddpm,80.42,0.3812,0.2771,0.3604,0.1781,0.1661,cat,0.201,automobile,0.5265
Rebuffi_extra,82.32,0.4646,0.33,0.3331,0.1352,0.2826,cat,0.2981,automobile,0.6156
Rebuffi_R18,75.86,0.3017,0.2198,0.3258,0.1929,0.1213,cat,0.1388,automobile,0.4471
Rice2020,67.68,0.1166,0.2123,0.1995,0.3087,0.0311,dog,0.0168,truck,0.2306
Rony2019,66.44,0.2221,0.3239,0.2746,0.2245,0.0956,cat,0.0848,automobile,0.3702
Sehwag_Proxy,77.24,0.2324,0.2899,0.3024,0.2499,0.0603,cat,0.0812,horse,0.3626
Sehwag_R18,74.41,0.1863,0.2566,0.2482,0.2578,0.0537,cat,0.0622,horse,0.3019
Wu2020,73.66,0.1045,0.1729,0.1107,0.1942,0.0472,dog,0.0491,horse,0.1579
